method,n,year_acc,ym_acc,exact_acc,na_precision,na_recall,year_acc_scan,year_acc_digital,tokens/doc,ms/doc
bargain,150,0.91,0.86,0.75,1.00,0.68,0.88,0.91,2848,4076
bargain_year,150,0.92,0.86,0.73,1.00,0.68,0.88,0.93,2701,3927
baseline_llm,150,0.82,0.70,0.56,0.69,0.58,0.69,0.85,928,1749
baseline_metadata,150,0.47,0.33,0.28,0.12,0.11,0.38,0.49,0,0
baseline_regex,150,0.55,0.48,0.41,0.28,0.79,0.50,0.56,0,0
direct_phi3.5mini,150,0.69,0.60,0.52,0.44,0.74,0.62,0.71,1074,3040
direct_qwen0.5b,150,0.71,0.59,0.58,0.00,0.00,0.69,0.71,927,903
direct_qwen1.5b,150,0.63,0.39,0.42,0.22,0.26,0.54,0.65,933,1299
direct_qwen3b,150,0.71,0.68,0.63,0.43,0.53,0.58,0.74,941,1963
docetl,150,0.77,0.72,0.60,0.52,0.74,0.65,0.80,1943,1110
palimpzest,150,0.67,0.59,0.55,0.38,0.74,0.46,0.72,1653,1562
